,State,Compound,Low_Estimate,High_Estimate
0,AL,Clothianidin,9.2,9.2
1,AL,Clothianidin,5.9,5.9
2,AL,Clothianidin,14.6,14.6
3,AL,Clothianidin,1.6,1.6
4,AL,Clothianidin,4.9,4.9
5,AL,Clothianidin,4.8,4.8
6,AL,Clothianidin,3.5,3.5
7,AL,Clothianidin,3.0,3.0
8,AL,Clothianidin,6.7,6.7
9,AL,Clothianidin,2.0,2.0
10,AL,Imidacloprid,9.2,105.8
11,AL,Imidacloprid,248.0,248.0
12,AL,Imidacloprid,16.4,141.7
13,AL,Imidacloprid,0.0,0.0
14,AL,Imidacloprid,393.2,393.2
15,AL,Imidacloprid,4.1,3.9
16,AL,Imidacloprid,9.3,9.3
17,AL,Imidacloprid,194.1,194.1
18,AL,Imidacloprid,0.0,0.2
19,AL,Imidacloprid,1071.9,1071.9
20,AL,Imidacloprid,20.4,32.8
21,AL,Imidacloprid,29.6,29.6
22,AL,Imidacloprid,2.6,2.6
23,AL,Imidacloprid,0.2,0.2
24,AL,Imidacloprid,0.3,0.3
25,AL,Imidacloprid,13.1,346.6
26,AL,Imidacloprid,149.4,149.3
27,AL,Imidacloprid,129.3,129.3
28,AL,Imidacloprid,0.0,0.0
29,AL,Imidacloprid,25.8,351.5
30,AL,Imidacloprid,3.8,26.3
31,AL,Imidacloprid,76.6,76.6
32,AL,Imidacloprid,11.0,322.3
33,AL,Imidacloprid,8.0,186.5
34,AL,Imidacloprid,313.9,313.9
35,AL,Imidacloprid,4.6,140.3
36,AL,Imidacloprid,352.0,352.0
37,AL,Imidacloprid,243.8,243.8
38,AL,Imidacloprid,432.5,635.4
39,AL,Imidacloprid,10.7,12.1
40,AL,Imidacloprid,14.6,542.3
41,AL,Imidacloprid,3.3,3.2
42,AL,Imidacloprid,4.2,14.3
43,AL,Imidacloprid,6.6,503.6
44,AL,Imidacloprid,48.8,796.2
45,AL,Imidacloprid,182.8,182.8
46,AL,Imidacloprid,0.7,0.7
47,AL,Imidacloprid,0.0,0.0
48,AL,Imidacloprid,346.0,347.6
49,AL,Imidacloprid,381.6,383.9
50,AL,Imidacloprid,278.2,321.2
51,AL,Imidacloprid,377.0,379.0
52,AL,Imidacloprid,13.3,12.7
53,AL,Imidacloprid,14.8,69.6
